"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 19 19:28:19 GMT 2024","Tue Mar 19 19:28:20 GMT 2024","665","","Demo API","","GET user info clone","","GET user info clone",""
"passed","Tue Mar 19 19:28:16 GMT 2024","Tue Mar 19 19:28:16 GMT 2024","132","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Tue Mar 19 19:28:16 GMT 2024","Tue Mar 19 19:28:19 GMT 2024","2731","","Demo API","","GET organization info","","GET organization info",""
"passed","Tue Mar 19 19:28:16 GMT 2024","Tue Mar 19 19:28:25 GMT 2024","9312","","Demo","","Empty email validation is working on Contact Us page","","Empty email validation is working on Contact Us page",""
"passed","Tue Mar 19 19:28:16 GMT 2024","Tue Mar 19 19:28:19 GMT 2024","3275","","Demo API","","GET user info","","GET user info",""
"passed","Tue Mar 19 19:28:16 GMT 2024","Tue Mar 19 19:28:16 GMT 2024","65","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Tue Mar 19 19:28:19 GMT 2024","Tue Mar 19 19:28:20 GMT 2024","342","","Demo API","","GET organization info clone","","GET organization info clone",""
"passed","Tue Mar 19 19:28:16 GMT 2024","Tue Mar 19 19:28:19 GMT 2024","3081","","Demo API","","GET users info","","GET users info",""
"passed","Tue Mar 19 19:28:19 GMT 2024","Tue Mar 19 19:28:20 GMT 2024","632","","Demo API","","GET users info clone","","GET users info clone",""
