"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 08 19:13:32 GMT 2024","Mon Apr 08 19:13:51 GMT 2024","19122","","Demo","","Empty email validation is working on Contact Us page","","Empty email validation is working on Contact Us page",""
"passed","Mon Apr 08 19:13:34 GMT 2024","Mon Apr 08 19:13:34 GMT 2024","245","","Demo API","","GET user info clone","","GET user info clone",""
"passed","Mon Apr 08 19:13:32 GMT 2024","Mon Apr 08 19:13:32 GMT 2024","67","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Mon Apr 08 19:13:32 GMT 2024","Mon Apr 08 19:13:34 GMT 2024","2437","","Demo API","","GET users info","","GET users info",""
"passed","Mon Apr 08 19:13:32 GMT 2024","Mon Apr 08 19:13:34 GMT 2024","2331","","Demo API","","GET organization info","","GET organization info",""
"passed","Mon Apr 08 19:13:32 GMT 2024","Mon Apr 08 19:13:32 GMT 2024","162","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Mon Apr 08 19:13:32 GMT 2024","Mon Apr 08 19:13:34 GMT 2024","2687","","Demo API","","GET user info","","GET user info",""
"passed","Mon Apr 08 19:13:34 GMT 2024","Mon Apr 08 19:13:34 GMT 2024","124","","Demo API","","GET organization info clone","","GET organization info clone",""
"passed","Mon Apr 08 19:13:34 GMT 2024","Mon Apr 08 19:13:35 GMT 2024","250","","Demo API","","GET users info clone","","GET users info clone",""
