"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 22:10:33 GMT 2024","Mon Mar 18 22:10:36 GMT 2024","2621","","Demo API","","GET user info","","GET user info",""
"passed","Mon Mar 18 22:10:36 GMT 2024","Mon Mar 18 22:10:36 GMT 2024","297","","Demo API","","GET users info clone","","GET users info clone",""
"passed","Mon Mar 18 22:10:33 GMT 2024","Mon Mar 18 22:10:45 GMT 2024","12096","","Demo","","Empty email validation is working on Contact Us page","","Empty email validation is working on Contact Us page",""
"passed","Mon Mar 18 22:10:33 GMT 2024","Mon Mar 18 22:10:36 GMT 2024","2224","","Demo API","","GET organization info","","GET organization info",""
"passed","Mon Mar 18 22:10:33 GMT 2024","Mon Mar 18 22:10:33 GMT 2024","143","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Mon Mar 18 22:10:36 GMT 2024","Mon Mar 18 22:10:36 GMT 2024","293","","Demo API","","GET user info clone","","GET user info clone",""
"passed","Mon Mar 18 22:10:33 GMT 2024","Mon Mar 18 22:10:36 GMT 2024","2376","","Demo API","","GET users info","","GET users info",""
"passed","Mon Mar 18 22:10:33 GMT 2024","Mon Mar 18 22:10:33 GMT 2024","66","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Mon Mar 18 22:10:36 GMT 2024","Mon Mar 18 22:10:36 GMT 2024","164","","Demo API","","GET organization info clone","","GET organization info clone",""
