"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 12:55:22 GMT 2024","Fri Apr 05 12:55:22 GMT 2024","176","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Fri Apr 05 12:55:22 GMT 2024","Fri Apr 05 12:55:43 GMT 2024","21364","","Demo","","Empty email validation is working on Contact Us page","","Empty email validation is working on Contact Us page",""
"passed","Fri Apr 05 12:55:22 GMT 2024","Fri Apr 05 12:55:25 GMT 2024","2588","","Demo API","","GET user info","","GET user info",""
"passed","Fri Apr 05 12:55:22 GMT 2024","Fri Apr 05 12:55:22 GMT 2024","66","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Fri Apr 05 12:55:22 GMT 2024","Fri Apr 05 12:55:24 GMT 2024","2281","","Demo API","","GET organization info","","GET organization info",""
"passed","Fri Apr 05 12:55:22 GMT 2024","Fri Apr 05 12:55:24 GMT 2024","2383","","Demo API","","GET users info","","GET users info",""
