"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 19 18:58:38 GMT 2024","Tue Mar 19 18:58:41 GMT 2024","2662","","Demo API","","GET users info","","GET users info",""
"passed","Tue Mar 19 18:58:41 GMT 2024","Tue Mar 19 18:58:42 GMT 2024","401","","Demo API","","GET users info clone","","GET users info clone",""
"passed","Tue Mar 19 18:58:38 GMT 2024","Tue Mar 19 18:58:41 GMT 2024","2860","","Demo API","","GET user info","","GET user info",""
"passed","Tue Mar 19 18:58:38 GMT 2024","Tue Mar 19 18:58:48 GMT 2024","9385","","Demo","","Empty email validation is working on Contact Us page","","Empty email validation is working on Contact Us page",""
"passed","Tue Mar 19 18:58:38 GMT 2024","Tue Mar 19 18:58:38 GMT 2024","142","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Tue Mar 19 18:58:38 GMT 2024","Tue Mar 19 18:58:41 GMT 2024","2559","","Demo API","","GET organization info","","GET organization info",""
"passed","Tue Mar 19 18:58:41 GMT 2024","Tue Mar 19 18:58:41 GMT 2024","216","","Demo API","","GET organization info clone","","GET organization info clone",""
"passed","Tue Mar 19 18:58:38 GMT 2024","Tue Mar 19 18:58:38 GMT 2024","68","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Tue Mar 19 18:58:41 GMT 2024","Tue Mar 19 18:58:41 GMT 2024","245","","Demo API","","GET user info clone","","GET user info clone",""
