"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 19 19:52:29 GMT 2024","Tue Mar 19 19:52:29 GMT 2024","54","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Tue Mar 19 19:52:29 GMT 2024","Tue Mar 19 19:52:32 GMT 2024","3016","","Demo API","","GET user info","","GET user info",""
"passed","Tue Mar 19 19:52:32 GMT 2024","Tue Mar 19 19:52:33 GMT 2024","359","","Demo API","","GET user info clone","","GET user info clone",""
"passed","Tue Mar 19 19:52:29 GMT 2024","Tue Mar 19 19:52:32 GMT 2024","2897","","Demo API","","GET users info","","GET users info",""
"passed","Tue Mar 19 19:52:32 GMT 2024","Tue Mar 19 19:52:33 GMT 2024","414","","Demo API","","GET users info clone","","GET users info clone",""
"passed","Tue Mar 19 19:52:32 GMT 2024","Tue Mar 19 19:52:33 GMT 2024","224","","Demo API","","GET organization info clone","","GET organization info clone",""
"passed","Tue Mar 19 19:52:29 GMT 2024","Tue Mar 19 19:52:29 GMT 2024","123","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Tue Mar 19 19:52:29 GMT 2024","Tue Mar 19 19:52:38 GMT 2024","8923","","Demo","","Empty email validation is working on Contact Us page","","Empty email validation is working on Contact Us page",""
"passed","Tue Mar 19 19:52:29 GMT 2024","Tue Mar 19 19:52:32 GMT 2024","2677","","Demo API","","GET organization info","","GET organization info",""
