"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 16:12:30 GMT 2024","Wed Apr 10 16:12:31 GMT 2024","149","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Wed Apr 10 16:12:31 GMT 2024","Wed Apr 10 16:12:33 GMT 2024","2615","","Demo API","","GET users info","","GET users info",""
"passed","Wed Apr 10 16:12:30 GMT 2024","Wed Apr 10 16:12:31 GMT 2024","53","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Wed Apr 10 16:12:30 GMT 2024","Wed Apr 10 16:12:40 GMT 2024","9207","","Demo","","Empty email validation is working on Contact Us page","","Empty email validation is working on Contact Us page",""
"passed","Wed Apr 10 16:12:31 GMT 2024","Wed Apr 10 16:12:33 GMT 2024","2501","","Demo API","","GET organization info","","GET organization info",""
"passed","Wed Apr 10 16:12:30 GMT 2024","Wed Apr 10 16:12:33 GMT 2024","2799","","Demo API","","GET user info","","GET user info",""
