"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 19 07:32:11 GMT 2023","Thu Jan 19 07:32:14 GMT 2023","2082","","Demo API","","GET organization info","","GET organization info",""
"passed","Thu Jan 19 07:32:11 GMT 2023","Thu Jan 19 07:32:23 GMT 2023","11538","","Demo","","Empty email validation is working on Contact Us page","","Empty email validation is working on Contact Us page",""
"failed","Thu Jan 19 07:32:11 GMT 2023","Thu Jan 19 07:32:14 GMT 2023","2050","","Demo API","","GET users info","","GET users info",""
"passed","Thu Jan 19 07:32:11 GMT 2023","Thu Jan 19 07:32:11 GMT 2023","244","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"failed","Thu Jan 19 07:32:11 GMT 2023","Thu Jan 19 07:32:14 GMT 2023","2338","","Demo API","","GET user info","","GET user info",""
"passed","Thu Jan 19 07:32:11 GMT 2023","Thu Jan 19 07:32:11 GMT 2023","96","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
