"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 12:16:48 GMT 2024","Fri Apr 05 12:16:51 GMT 2024","2837","","Demo API","","GET user info","","GET user info",""
"passed","Fri Apr 05 12:16:48 GMT 2024","Fri Apr 05 12:16:48 GMT 2024","153","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Fri Apr 05 12:16:48 GMT 2024","Fri Apr 05 12:16:51 GMT 2024","2392","","Demo API","","GET organization info","","GET organization info",""
"passed","Fri Apr 05 12:16:48 GMT 2024","Fri Apr 05 12:17:35 GMT 2024","46237","","Demo","","Empty email validation is working on Contact Us page","","Empty email validation is working on Contact Us page",""
"passed","Fri Apr 05 12:16:48 GMT 2024","Fri Apr 05 12:16:48 GMT 2024","62","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Fri Apr 05 12:16:48 GMT 2024","Fri Apr 05 12:16:51 GMT 2024","2654","","Demo API","","GET users info","","GET users info",""
