"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 18 19:55:00 GMT 2024","Mon Mar 18 19:55:09 GMT 2024","8871","","Demo","","Empty email validation is working on Contact Us page","","Empty email validation is working on Contact Us page",""
"passed","Mon Mar 18 19:55:00 GMT 2024","Mon Mar 18 19:55:03 GMT 2024","2845","","Demo API","","GET user info","","GET user info",""
"passed","Mon Mar 18 19:55:00 GMT 2024","Mon Mar 18 19:55:02 GMT 2024","2520","","Demo API","","GET organization info","","GET organization info",""
"passed","Mon Mar 18 19:55:00 GMT 2024","Mon Mar 18 19:55:00 GMT 2024","79","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Mon Mar 18 19:55:00 GMT 2024","Mon Mar 18 19:55:02 GMT 2024","2614","","Demo API","","GET users info","","GET users info",""
"passed","Mon Mar 18 19:55:00 GMT 2024","Mon Mar 18 19:55:00 GMT 2024","168","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
