"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 12:58:35 GMT 2024","Fri Apr 05 12:58:37 GMT 2024","2629","","Demo API","","GET users info","","GET users info",""
"passed","Fri Apr 05 12:58:34 GMT 2024","Fri Apr 05 12:58:37 GMT 2024","2782","","Demo API","","GET user info","","GET user info",""
"passed","Fri Apr 05 12:58:34 GMT 2024","Fri Apr 05 12:58:35 GMT 2024","125","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Fri Apr 05 12:58:34 GMT 2024","Fri Apr 05 12:58:45 GMT 2024","10410","","Demo","","Empty email validation is working on Contact Us page","","Empty email validation is working on Contact Us page",""
"passed","Fri Apr 05 12:58:34 GMT 2024","Fri Apr 05 12:58:34 GMT 2024","62","","Demo","","ScenarioContext demo","","ScenarioContext demo",""
"passed","Fri Apr 05 12:58:35 GMT 2024","Fri Apr 05 12:58:37 GMT 2024","2516","","Demo API","","GET organization info","","GET organization info",""
